geneno,Gene.id
111242843,LOC111242843
111242941,LOC111242941
111242952,LOC111242952
111243100,LOC111243100
111243370,LOC111243370
111243539,LOC111243539
111243631,LOC111243631
111243633,LOC111243633
111243636,LOC111243636
111243639,LOC111243639
111243684,LOC111243684
111243704,LOC111243704
111243718,LOC111243718
111243756,LOC111243756
111243765,LOC111243765
111243780,LOC111243780
111243827,LOC111243827
111243875,LOC111243875
111243885,LOC111243885
111243903,LOC111243903
111243904,LOC111243904
111243966,LOC111243966
111243975,LOC111243975
111243998,LOC111243998
111244093,LOC111244093
111244145,LOC111244145
111244218,LOC111244218
111244238,LOC111244238
111244284,LOC111244284
111244523,LOC111244523
111244587,LOC111244587
111244635,LOC111244635
111244674,LOC111244674
111244771,LOC111244771
111244868,LOC111244868
111244928,LOC111244928
111245019,LOC111245019
111245110,LOC111245110
111245122,LOC111245122
111245138,LOC111245138
111245193,LOC111245193
111245227,LOC111245227
111245229,LOC111245229
111245241,LOC111245241
111245242,LOC111245242
111245260,LOC111245260
111245268,LOC111245268
111245273,LOC111245273
111245385,LOC111245385
111245391,LOC111245391
111245434,LOC111245434
111245450,LOC111245450
111245458,LOC111245458
111245588,LOC111245588
111245791,LOC111245791
111245845,LOC111245845
111245890,LOC111245890
111245960,LOC111245960
111246044,LOC111246044
111246181,LOC111246181
111246195,LOC111246195
111246200,LOC111246200
111246313,LOC111246313
111246338,LOC111246338
111246466,LOC111246466
111246488,LOC111246488
111246528,LOC111246528
111246581,LOC111246581
111246636,LOC111246636
111246644,LOC111246644
111246654,LOC111246654
111246690,LOC111246690
111246716,LOC111246716
111246821,LOC111246821
111246861,LOC111246861
111246875,LOC111246875
111246937,LOC111246937
111246990,LOC111246990
111247147,LOC111247147
111247169,LOC111247169
111247200,LOC111247200
111247264,LOC111247264
111247357,LOC111247357
111247370,LOC111247370
111247400,LOC111247400
111247410,LOC111247410
111247442,LOC111247442
111247511,LOC111247511
111247514,LOC111247514
111247530,LOC111247530
111247727,LOC111247727
111247802,LOC111247802
111247804,LOC111247804
111247806,LOC111247806
111247896,LOC111247896
111248155,LOC111248155
111248205,LOC111248205
111248374,LOC111248374
111248407,LOC111248407
111248453,LOC111248453
111248479,LOC111248479
111248689,LOC111248689
111248805,LOC111248805
111248865,LOC111248865
111248873,LOC111248873
111248924,LOC111248924
111248951,LOC111248951
111249007,LOC111249007
111249014,LOC111249014
111249076,LOC111249076
111249080,LOC111249080
111249126,LOC111249126
111249159,LOC111249159
111249227,LOC111249227
111249252,LOC111249252
111249263,LOC111249263
111249266,LOC111249266
111249280,LOC111249280
111249484,LOC111249484
111249528,LOC111249528
111249533,LOC111249533
111249556,LOC111249556
111249575,LOC111249575
111249733,LOC111249733
111249784,LOC111249784
111249995,LOC111249995
111250052,LOC111250052
111250069,LOC111250069
111250099,LOC111250099
111250115,LOC111250115
111250119,LOC111250119
111250192,LOC111250192
111250198,LOC111250198
111250208,LOC111250208
111250212,LOC111250212
111250280,LOC111250280
111250386,LOC111250386
111250409,LOC111250409
111250619,LOC111250619
111250765,LOC111250765
111250770,LOC111250770
111250825,LOC111250825
111250843,LOC111250843
111250929,LOC111250929
111250932,LOC111250932
111250954,LOC111250954
111250956,LOC111250956
111251028,LOC111251028
111251075,LOC111251075
111251079,LOC111251079
111251222,LOC111251222
111251259,LOC111251259
111251269,LOC111251269
111251334,LOC111251334
111251336,LOC111251336
111251396,LOC111251396
111251411,LOC111251411
111251470,LOC111251470
111251532,LOC111251532
111251580,LOC111251580
111251642,LOC111251642
111251740,LOC111251740
111251747,LOC111251747
111251764,LOC111251764
111252001,LOC111252001
111252146,LOC111252146
111252309,LOC111252309
111252351,LOC111252351
111252411,LOC111252411
111252417,LOC111252417
111252423,LOC111252423
111252476,LOC111252476
111252490,LOC111252490
111252528,LOC111252528
111252568,LOC111252568
111252603,LOC111252603
111252650,LOC111252650
111252661,LOC111252661
111252675,LOC111252675
111252744,LOC111252744
111252786,LOC111252786
111252886,LOC111252886
111252911,LOC111252911
111252916,LOC111252916
111253128,LOC111253128
111253301,LOC111253301
111253313,LOC111253313
111253347,LOC111253347
111253368,LOC111253368
111253467,LOC111253467
111253473,LOC111253473
111253765,LOC111253765
111253796,LOC111253796
111253797,LOC111253797
111253864,LOC111253864
111253875,LOC111253875
111253905,LOC111253905
111253912,LOC111253912
111253933,LOC111253933
111254055,LOC111254055
111254292,LOC111254292
111254338,LOC111254338
111254349,LOC111254349
111254375,LOC111254375
111254379,LOC111254379
111254600,LOC111254600
111254714,LOC111254714
111254799,LOC111254799
111254847,LOC111254847
111254913,LOC111254913
111255024,LOC111255024
111255165,LOC111255165
111255208,LOC111255208
111255224,LOC111255224
111255310,LOC111255310
111255567,LOC111255567
111255585,LOC111255585
111255598,LOC111255598
111255606,LOC111255606
111255634,LOC111255634
